Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
I0001,roble sabana,64.6,12,6,1,31323.29
I0002,roble sabana,56,10,4,0,15692.32
I0003,jocote,32,4,2,0,0
I0004,cenízaro,72.4,13,4,1,54545.22
I0005,guayaquil,55.3,11,6,1,19301.97
I0006,mora,58.2,12,6,1,26002.09
I0007,roble sabana,34.5,9,5,0,7444.91
I0008,guácimo,72.1,6,4,1,16257.80
I0009,almendro de playa,27.6,3,3,0,0
I0010,almendro de playa,24.4,3,3,0,0
I0011,almendro de playa,22,3,3,0,0
I0012,cenízaro,59.2,9,3,0,27351.69
I0013,cedro amargo,26.2,8,3,0,7055.20
I0014,guácimo,42.5,8,3,0,4236.72
I0015,guácimo,37.2,2.5,2.5,0,2704.94
I0016,guanacaste,204,20,5,8.1713,597516.86
I0017,guanacaste,177.5,15,8,9.898,723779.92
I0018,cenízaro,129.7,16,7,4.6242,306335.65
I0019,cenízaro,83.5,16,4,1.0952,72552.52
I0020,guanacaste,166.2,20,8,8.6778,634558.77
I0021,guanacaste,173,10,8,9.4025,687546.41
I0022,cenízaro,135.1,17,7,5.0173,332374.95
I0023,cedro amargo,44.7,15,6,0,41072.56
I0024,guácimo,22.7,8,4,0,1611.55
I0025,cedro amargo,110.2,16,6,2.8614,249631.82
I0026,tabaquillo,17.4,6,,0,0
I0027,guanacaste blanco,28.5,15,5,0,11662.17
I0028,tabaquillo,16.1,11,,0,0
I0029,tabaquillo,16.6,10,,0,0
I0030,guácimo,43.8,12,3,0,4499.88
I0031,jocote,16,6,,0,0
I0032,cenízaro,99.5,17,8,3.1103,206041.97
I0033,laurel,16.4,5,,0,0
I0034,guácimo,25,8,2,0,977.33
I0035,tabaquillo,21.4,9,3,0,0
I0036,guácimo,17.3,8,2,0,468.01
I0037,guácimo,25.3,8,2,0,1000.93
I0038,guácimo,16.2,6,,0,0
I0039,guácimo macho,28,12,3,0,0
I0040,guácimo macho,16.3,12,,0,0
I0041,guácimo,17.1,9,,0,0
I0042,guácimo macho,18.9,13,2,0,0
I0043,almendro de montaña,44.5,15,3,0,3800.34
I0044,guácimo macho,19.4,15,2,0,0
I0045,cenízaro,104,16,7,2.9732,196962.82
I0046,cedro amargo,117.3,15,9,4.8629,424252.13
I0047,tabaquillo,15,10,,0,0
I0048,roble sabana,61.7,15,4,1,19049.41
I0049,ceibo barrigón,26.7,12,3,0,2280.20
I0050,cenízaro,115,15,6,3.1161,206426.99
I0051,cenízaro,132.4,15,7,4.8187,319222.55
I0052,guácimo,41.4,9,2,0,2680.17
I0053,guayaquil,73,15,8,1.6742,44847.26
I0054,guayaquil,43.5,15,2,0,3981.15
I0055,guácimo,41.5,10,3,0,4039.70
I0056,guayaquil,99.5,18,4,1.5551,41658.76
I0057,guarumo,23,12,2,0,0
I0058,guarumo,17.7,12,1.3,0,0
I0059,guarumo,32,14,2,0,0
I0060,guayaquil,29,7,2,0,1769.40
I0061,gallinazo,25.5,11,3,0,2052.12
I0062,indio pelado,34.9,7,1.5,0,0
I0063,cenízaro,65,10,2,0,21982.46
I0064,laurel,16.5,6,1.5,0,656.00
I0065,corteza amarilla,49,16,6,1,40958.29
I0066,nance,29,7,1.5,0,0
I0067,guanacaste,160,16,1.5,1.508,110268.39
I0068,guácimo,54,9,1.5,0,3419.87
I0069,guácimo,43,8,1.5,0,2168.50
I0070,cenízaro,57,16,3,0,25356.57
I0071,corteza amarilla,36,14,4,0,14738.84
I0072,cenízaro,148.5,15,4,3.464,229473.45
I0073,roble sabana,16,8,,0,0
I0074,malinche,33.9,8,,0,0
I0075,indio pelado,26.5,10,,0,0
I0076,guayaquil,25,8,4,0,2629.91
I0077,mamón,23,7,4,0,0
I0078,malinche,53,12,6,1,0
I0079,malinche,16,5,,0,0
I0080,malinche,76,12,1.5,0,0
I0081,malinche,50,9,1.5,0,0
I0082,cenízaro,83.4,13,4,1.0926,72378.84
I0083,guanacaste blanco,21.3,10,,0,0
I0084,cenízaro,73.8,12,4,1,56675.10
I0085,roble sabana,22.7,13,6,0,3867.71
I0086,guácimo,49.2,9,2,0,3785.22
I0087,cenízaro,72.5,14,2,0,27348.00
I0088,cenízaro,71,12,1.5,0,19671.05
I0089,guácimo,44.8,9,1.5,0,2353.85
I0090,guácimo,33.2,10,3,0,2585.40
I0091,guácimo,19,10,,0,0
I0092,cenízaro,102.5,12,4,1.6503,109326.96
I0093,guácimo,22.3,7,,0,0
I0094,guácimo,19,7,,0,0
I0095,melina,72.8,12,3,1,21246.15
